month,asof_n,new_members,new_member_share,asof_p10,asof_p25,asof_median_jpar,asof_p75,asof_p90,new_entrant_first_jpar_median,new_entrant_first_jpar_p75,event_rows,event_new_row_share,median_event_jpar,median_adjusted_event_jpar,median_calibration_multiplier
2025-04,620,620,1.0,0.7349341559901927,0.8602119408201844,1.1580686678211094,1.5058428865012243,2.014042679747595,1.1650357672970852,1.5214067465435746,914,0.6783369803063457,0.9130082488226512,0.9913486013503909,1.5266228870896057
2025-05,657,37,0.0563165905631659,0.7404338727455568,0.8780413071526016,1.1730593476727291,1.4922677679681908,2.0124121836925455,1.271747640838495,1.53801584081465,204,0.18137254901960784,0.9232003208341688,1.08876583376085,1.6416136867178655
2025-06,682,25,0.036656891495601175,0.7531954884725073,0.9017996322442094,1.206507891480888,1.5503411250159242,2.0655905868188107,1.7623285503895345,2.461363499160368,68,0.36764705882352944,0.8260609942295571,1.5607739327206878,2.326513593963929
2025-07,721,39,0.05409153952843273,0.7838581395443449,0.9393741831611588,1.2380032671499417,1.5766721362524834,2.069815436250466,1.4701065968481095,1.7944220278878904,241,0.16182572614107885,0.8899332929047907,1.1717324561054052,1.7810480016192463
2025-08,785,64,0.08152866242038216,0.8006463018333744,0.9752775423266422,1.272969216898853,1.6480925301925269,2.1703718037562716,1.702971360579824,2.1084157088041926,284,0.22535211267605634,0.9130980778791922,1.2366779420289369,1.6429440195971097
2025-09,801,16,0.019975031210986267,0.800725403267961,0.97768219007641,1.2737472542512307,1.6368613138686132,2.1413972279009204,1.1619827332218933,1.2668989768991534,202,0.07920792079207921,0.9799400143525216,1.0040666117494694,1.0281567038868327
2025-10,839,38,0.04529201430274136,0.815008684720625,1.0109348681849073,1.326896984274256,1.7597440727511964,2.304101706675748,2.352679934490393,2.862056532623665,81,0.4691358024691358,0.8238213399503722,2.180637472475724,2.305603808642917
2025-11,929,90,0.0968783638320775,0.8934005971513187,1.1066687035808762,1.4309144912654346,1.923248513500521,2.444857204313086,2.2241566755369355,2.5368975006052894,346,0.26011560693641617,0.8612967676494543,1.553101204479705,2.3052715727194317
2025-12,932,3,0.003218884120171674,0.89368708365805,1.1076516796577678,1.434051913203513,1.9318269604377236,2.461303012182511,15.67837870493118,17.387401373396717,3,1.0,1.29694710685126,15.67837870493118,12.088680118185612
2026-01,955,23,0.024083769633507852,0.9107989510071474,1.1084151996326885,1.4309144912654346,1.917147444943573,2.45713777810293,1.4381677276730305,1.6922126807938591,99,0.23232323232323232,0.9065212552860004,1.196905834657183,1.3203284839466543
2026-03,1224,269,0.21977124183006536,0.9955962571589027,1.1968727828635912,1.5074287448760617,2.0256198495891935,2.6298095195243514,1.830535418792376,2.41171283305079,937,0.2870864461045891,0.906284454244763,1.3122362503177964,1.677888499362449
2026-05,1243,19,0.015285599356395816,0.9987047265270926,1.2018456155843569,1.5133727914213997,2.038733812053858,2.6198681629151794,1.8258855843032105,2.172207216596932,66,0.2878787878787879,0.7367761692650334,1.7141767922935296,2.2902731674979804
