full_name,events,jpar_rank,system_rank,jpar,system,rank_delta_vs_jpar
Gregory Wiseburn,3,1165,1,3.035080950062328,trueskill_conservative,-1164.0
Jenni Won,1,1164,1,3.028634816536774,trueskill_conservative,-1163.0
Mary Wheeler,2,1163,1,3.0173134533915023,trueskill_conservative,-1162.0
Ritika Kanade,1,1162,1,3.0109162261329194,trueskill_conservative,-1161.0
Susan Wailes,1,1161,1,3.0044399860540225,trueskill_conservative,-1160.0
Rachel McClain,1,1160,1,2.9968696456928376,trueskill_conservative,-1159.0
Vivian Wong,1,1159,1,2.99632768010471,trueskill_conservative,-1158.0
Tim Collins,1,1158,1,2.99272706521593,trueskill_conservative,-1157.0
Stephanie Joe,1,1157,1,2.9845355359363817,trueskill_conservative,-1156.0
Kimberly Collier,1,1156,1,2.982987520283682,trueskill_conservative,-1155.0
Jeff Soesbe,4,1155,1,2.982186031697168,trueskill_conservative,-1154.0
Linda Hayes,1,1154,1,2.966261446319381,trueskill_conservative,-1153.0
Kari Loftesness,1,1151,1,2.9554171936635485,trueskill_conservative,-1150.0
James Powers,1,1151,1,2.9554171936635485,trueskill_conservative,-1150.0
Allison Wong,1,1151,1,2.9554171936635485,trueskill_conservative,-1150.0
Emily Chen,1,1150,1,2.952954346002162,trueskill_conservative,-1149.0
Kelly Hudson,1,1149,1,2.942525983168759,trueskill_conservative,-1148.0
Melanie Bietz,1,1148,1,2.9156011564711366,trueskill_conservative,-1147.0
Mikayla Taylor,1,1240,93,6.720224730237368,weighted_event_percentile,-1147.0
Ginger Cline,1,1147,1,2.902178775646284,trueskill_conservative,-1146.0
Vicky Vetter,1,1237,92,5.341478845932001,msp_like_score,-1145.0
Adam Wills,1,1146,1,2.8968100094660247,trueskill_conservative,-1145.0
Mindy May,1,1145,1,2.8879429956000204,trueskill_conservative,-1144.0
Maggie Hobbs,2,1144,1,2.870132894043168,trueskill_conservative,-1143.0
Lisa Coleman,2,1143,1,2.869173385232728,trueskill_conservative,-1142.0
Jennifer Newberg,1,1142,1,2.8690076916710066,trueskill_conservative,-1141.0
Stephanie Pringle,2,1141,1,2.8651328206793414,trueskill_conservative,-1140.0
Laura Vu,2,1140,1,2.8518313875665413,trueskill_conservative,-1139.0
Lissa Dollar,1,1139,1,2.839099091193668,trueskill_conservative,-1138.0
Susie Peat,3,1138,1,2.817303781956288,trueskill_conservative,-1137.0
Sam Thomas,1,1137,1,2.804395851556359,trueskill_conservative,-1136.0
Carolyn Kuczmarski,1,1136,1,2.779957443655704,trueskill_conservative,-1135.0
Linda Worman,1,1135,1,2.778505488137597,trueskill_conservative,-1134.0
DeAnna Steiner,1,1134,1,2.7767157455624165,trueskill_conservative,-1133.0
Olivia Medina,1,1133,1,2.770655273921962,trueskill_conservative,-1132.0
Jason Fox,3,1132,1,2.769619117680787,trueskill_conservative,-1131.0
Heidi Krauss,1,1131,1,2.757796102096587,trueskill_conservative,-1130.0
John Pringle,1,1130,1,2.755873215579696,trueskill_conservative,-1129.0
Amber Franzel,1,1129,1,2.748505090175561,trueskill_conservative,-1128.0
Ed Siegel,2,1128,1,2.73068807894106,trueskill_conservative,-1127.0
Michele Moody,1,1127,1,2.7253514751411365,trueskill_conservative,-1126.0
Thao Hughes,1,1126,1,2.706921798410997,trueskill_conservative,-1125.0
Kelsey Ruggaard,1,1125,1,2.663316713184895,trueskill_conservative,-1124.0
Susan Dias,2,1124,1,2.6500962254835523,trueskill_conservative,-1123.0
Lisha Rivera,1,1123,1,2.6461157455683004,trueskill_conservative,-1122.0
Madi Zavitz,1,1122,1,2.6360582128694685,trueskill_conservative,-1121.0
Lisa Furbush,2,1121,1,2.634070100928281,trueskill_conservative,-1120.0
Tiffany Overland,1,1120,1,2.627255887686063,trueskill_conservative,-1119.0
Theresa Vaerten,1,1118,1,2.6198681629151794,trueskill_conservative,-1117.0
Kasey Cushing,1,1118,1,2.6198681629151794,trueskill_conservative,-1117.0
Beatrice Chau,2,1117,1,2.607606536728496,trueskill_conservative,-1116.0
Lina Zulick,1,1116,1,2.605832038941802,trueskill_conservative,-1115.0
Jason Narozny,1,1115,1,2.604751597630932,trueskill_conservative,-1114.0
Jayme Becerra,2,1114,1,2.602462551743096,trueskill_conservative,-1113.0
Barry Walter,1,1113,1,2.590718951977969,trueskill_conservative,-1112.0
Jenny Pace,1,1112,1,2.5904723068831226,trueskill_conservative,-1111.0
