system,entrant_event_predictions,events,rank_percentile_mae,rank_percentile_spearman,time_mae_seconds_diagnostic
external_bayesian,2201,39,0.13252335314648145,0.8176408477483628,733.0360123854965
external_bayesian_conservative,2201,39,0.1806762755785712,0.6740725039942945,880.8991184393079
external_combined,2201,39,0.09427277647029675,0.8952328988037378,427.5500016264094
external_logtime,2201,39,0.09395073616646729,0.898023463229156,441.7608051482275
external_logtime_conservative,2201,39,0.0975465024892842,0.8930175818675655,1166.7714332532216
external_logtime_no_tier,2201,39,0.09427277647029675,0.8952328988037378,427.5500016264094
external_nationals,2201,39,0.09522000478835452,0.8973247627212994,427.5500016264094
external_nationals_soft,2201,39,0.09610975232963256,0.8958408443148355,427.5500016264094
